 d-2	 d-1	 d0	 d+1	 d+2
1.002551000000001693e+02 1.002551000000001693e+02 1.002551000000001693e+02 1.002551000000001693e+02 1.002551000000001693e+02
1.002555000000001826e+02 1.002555000000001826e+02 1.002555000000001826e+02 1.002555000000001826e+02 1.002555000000001826e+02
1.002542295999860471e+02 1.002542934999913342e+02 1.002544000000001461e+02 1.002545065000089579e+02 1.002545704000142450e+02
1.002502436118684273e+02 1.002500943054183438e+02 1.002498999999999967e+02 1.002497738679009274e+02 1.002497309118260063e+02
1.002623598203053916e+02 1.002604741041554064e+02 1.002571000000002357e+02 1.002535517701901711e+02 1.002513944179714116e+02
1.002600022612816133e+02 1.002588160748242387e+02 1.002561000000002025e+02 1.002525064882806305e+02 1.002499694915948822e+02
1.002497389119722015e+02 1.002496663778557320e+02 1.002480999999999369e+02 1.002440692902210344e+02 1.002401922221415163e+02
1.002553838420288912e+02 1.002541382633709475e+02 1.002509000000000299e+02 1.002441617179781019e+02 1.002372193895129016e+02
1.002548717834272907e+02 1.002536944499857583e+02 1.002504000000000133e+02 1.002430295352743883e+02 1.002349965487109529e+02
1.002624519031358545e+02 1.002613249254043097e+02 1.002579000000002623e+02 1.002495180045522574e+02 1.002396842040889311e+02
1.002594581885726939e+02 1.002585828069851317e+02 1.002555000000001826e+02 1.002470555359749227e+02 1.002365672576076605e+02
1.002683898014942940e+02 1.002678709415458655e+02 1.002653000000005079e+02 1.002563681368392423e+02 1.002437975185220154e+02
1.002659582403962872e+02 1.002665733715415257e+02 1.002660000000005311e+02 1.002582132557142103e+02 1.002441874021634618e+02
1.002636492802665771e+02 1.002649328305696343e+02 1.002662000000005378e+02 1.002600790907285813e+02 1.002445015617006021e+02
1.002617881711093446e+02 1.002633233500564245e+02 1.002667000000005544e+02 1.002637558356027085e+02 1.002458578984076496e+02
1.002698963661133718e+02 1.002712407082755846e+02 1.002752000000008366e+02 1.002742785836972246e+02 1.002552627705139656e+02
1.002670145070269427e+02 1.002685164340248605e+02 1.002729000000007602e+02 1.002728161464553551e+02 1.002537742293421985e+02
1.002665962922915810e+02 1.002681869448310579e+02 1.002729000000007602e+02 1.002736536696119884e+02 1.002545989344977357e+02
1.002650418033883284e+02 1.002667042873006551e+02 1.002719000000007270e+02 1.002742160380375225e+02 1.002552450352859665e+02
1.002635268589103816e+02 1.002651459579659274e+02 1.002705000000006805e+02 1.002738119647374191e+02 1.002549476626296183e+02
1.002665763462737658e+02 1.002680821234890800e+02 1.002734000000007768e+02 1.002773867690088565e+02 1.002586062789380463e+02
1.002683446221032995e+02 1.002698550209066184e+02 1.002752000000008366e+02 1.002793509738669542e+02 1.002606200345761778e+02
1.002662525222113885e+02 1.002678508161310447e+02 1.002734000000007768e+02 1.002783461646902907e+02 1.002599345524639176e+02
1.002671173893476606e+02 1.002687292783354565e+02 1.002744000000008100e+02 1.002808972708422885e+02 1.002632804415235483e+02
1.002665925181267284e+02 1.002682451888924788e+02 1.002740000000007967e+02 1.002810052550463098e+02 1.002637749961050559e+02
1.002734130127230117e+02 1.002750817034194455e+02 1.002809000000010258e+02 1.002887163128645653e+02 1.002722696603989760e+02
1.002734826775994179e+02 1.002752354092400537e+02 1.002812000000010357e+02 1.002892764957639997e+02 1.002730588259426412e+02
1.002770932961403787e+02 1.002789859743573970e+02 1.002852000000011685e+02 1.002937021938378734e+02 1.002778668427727524e+02
1.002816908583539401e+02 1.002845474584227645e+02 1.002925000000014109e+02 1.003035245452218902e+02 1.002898343306376603e+02
1.002798988154498119e+02 1.002831328517381735e+02 1.002919000000013909e+02 1.003041821206362130e+02 1.002916166109468747e+02
1.002792489218048644e+02 1.002828308948475069e+02 1.002925000000014109e+02 1.003063939374962814e+02 1.002954036085409086e+02
1.002784774196118605e+02 1.002823074590551613e+02 1.002928000000014208e+02 1.003084377380941987e+02 1.002993211460990324e+02
1.002796265145793484e+02 1.002836521709458850e+02 1.002951000000014972e+02 1.003132308775803665e+02 1.003070938206353730e+02
1.002764094918945972e+02 1.002804920565287432e+02 1.002922000000014009e+02 1.003110704798337736e+02 1.003058961096609636e+02
1.002782602988166758e+02 1.002823005963063707e+02 1.002941000000014640e+02 1.003135534992922544e+02 1.003092840190247443e+02
1.002766458385939785e+02 1.002806714722524219e+02 1.002927000000014175e+02 1.003132470230023330e+02 1.003106720175556177e+02
1.002742303653462983e+02 1.002780906389352964e+02 1.002901000000013312e+02 1.003116859770084659e+02 1.003111368628669595e+02
1.002672987722569218e+02 1.002707590099046087e+02 1.002823000000010722e+02 1.003047345516386315e+02 1.003067473697515197e+02
1.002616361420751048e+02 1.002647123058419254e+02 1.002756000000008498e+02 1.002978453904874101e+02 1.003007098354152049e+02
1.002604627445181791e+02 1.002629697193350182e+02 1.002728000000007569e+02 1.002943153802643650e+02 1.002977014939436913e+02
1.002640467605390313e+02 1.002653946969340097e+02 1.002728000000007569e+02 1.002921648661082799e+02 1.002962185656291467e+02
1.002642357645447646e+02 1.002651711656351807e+02 1.002711000000007004e+02 1.002884994932492901e+02 1.002928362637476880e+02
1.002673184384847787e+02 1.002677564660639291e+02 1.002712000000007038e+02 1.002842271817138879e+02 1.002882901030616409e+02
1.002625528008669562e+02 1.002631135049659292e+02 1.002658000000005245e+02 1.002761801697941877e+02 1.002795674684217175e+02
1.002619178395673885e+02 1.002624194383047325e+02 1.002648000000004913e+02 1.002743045037158680e+02 1.002773108323372213e+02
1.002618243416725647e+02 1.002622418857007176e+02 1.002642000000004714e+02 1.002724196960388809e+02 1.002747727419858990e+02
1.002583566186637256e+02 1.002587570324719479e+02 1.002606000000003519e+02 1.002684014266163359e+02 1.002705020788150847e+02
1.002566752719700247e+02 1.002567797403248875e+02 1.002577000000002556e+02 1.002628908103061036e+02 1.002632695534523890e+02
1.002544469170027952e+02 1.002543336543899812e+02 1.002546000000001527e+02 1.002578490663337192e+02 1.002566778290559455e+02
1.002586506098868853e+02 1.002578940340454068e+02 1.002565000000002158e+02 1.002552541869830804e+02 1.002500993479656017e+02
1.002509773907480195e+02 1.002502112523294642e+02 1.002480999999999369e+02 1.002429323059911042e+02 1.002332024362688401e+02
1.002432007977806876e+02 1.002421545715512252e+02 1.002393999999996481e+02 1.002324887480192501e+02 1.002206566936067418e+02
1.002458332941738632e+02 1.002440529511425495e+02 1.002397999999996614e+02 1.002298597898149524e+02 1.002145606298938105e+02
1.002567442569691991e+02 1.002535520709859043e+02 1.002456999999998573e+02 1.002270144807930166e+02 1.002004853691445163e+02
1.002471664148744424e+02 1.002448294950484780e+02 1.002365999999995552e+02 1.002109701402848998e+02 1.001717023033181562e+02
1.002556684729675425e+02 1.002529065875705072e+02 1.002432999999997776e+02 1.002116158177112339e+02 1.001609698352030478e+02
1.002579542957010261e+02 1.002559998949933657e+02 1.002464999999998838e+02 1.002062005597340288e+02 1.001342609114815616e+02
1.002542898669368014e+02 1.002531523686953676e+02 1.002445999999998207e+02 1.001971235823842648e+02 1.001017348122054642e+02
1.002560010217505919e+02 1.002549835328302095e+02 1.002467999999998938e+02 1.001921497909972771e+02 1.000697824653106096e+02
1.002529614715700177e+02 1.002520096110472423e+02 1.002439999999998008e+02 1.001878567350303655e+02 1.000584698292433217e+02
1.002553387885864709e+02 1.002543626643598600e+02 1.002463999999998805e+02 1.001887746399008989e+02 1.000523662784020615e+02
1.002593135701111464e+02 1.002584383229510649e+02 1.002508000000000266e+02 1.001911322071856745e+02 1.000431689000068758e+02
1.002536056203471162e+02 1.002529411619764801e+02 1.002457999999998606e+02 1.001850078775033381e+02 1.000282407124928312e+02
1.002551693981609588e+02 1.002540791815960546e+02 1.002470999999999037e+02 1.001802189292640008e+02 9.998275112930728881e+01
1.002543575059904839e+02 1.002532578218795578e+02 1.002462999999998772e+02 1.001788702015996790e+02 9.997659480591691761e+01
1.002543748655334213e+02 1.002532609554221352e+02 1.002462999999998772e+02 1.001784178402947845e+02 9.997196944620596071e+01
1.002483373058670821e+02 1.002471495495456253e+02 1.002400999999996714e+02 1.001709638486962461e+02 9.995253994252148289e+01
1.002490928055067911e+02 1.002475186304631478e+02 1.002397999999996614e+02 1.001690039753997183e+02 9.993875932932414230e+01
