Date,Open,High,Low,Close,Adj Close,Volume
2001-04-02,9.630000,9.630000,9.420000,9.490000,9.026865,70300
2001-04-03,9.550000,9.980000,9.550000,9.980000,9.492952,311800
2001-04-04,10.130000,10.340000,10.130000,10.240000,9.740263,336200
2001-04-05,10.200000,10.260000,9.910000,10.170000,9.673680,230000
2001-04-06,10.090000,10.090000,9.850000,10.040000,9.550023,188700
2001-04-09,9.900000,9.900000,9.760000,9.840000,9.359784,157000
2001-04-10,9.810000,10.000000,9.750000,9.960000,9.473928,158700
2001-04-11,9.950000,9.950000,9.710000,9.770000,9.293202,138700
2001-04-12,9.850000,10.000000,9.850000,9.970000,9.483441,101400
2001-04-16,9.900000,9.900000,9.750000,9.890000,9.407345,79700
2001-04-17,9.820000,9.930000,9.820000,9.880000,9.397833,56100
2001-04-18,9.850000,10.250000,9.850000,10.250000,9.749777,295400
2001-04-19,10.200000,10.240000,10.000000,10.150000,9.654655,122900
2001-04-20,10.150000,10.150000,9.820000,10.020000,9.531001,137100
2001-04-23,9.950000,10.010000,9.870000,9.960000,9.473928,98300
2001-04-24,9.960000,10.000000,9.820000,9.920000,9.435882,213000
2001-04-25,10.000000,10.230000,10.000000,10.230000,9.730751,298200
2001-04-26,10.210000,10.210000,9.960000,9.980000,9.492952,346500
2001-04-27,10.030000,10.410000,10.030000,10.350000,9.844897,327600
2001-04-30,10.350000,10.470000,10.300000,10.300000,9.797336,218400
2001-05-01,10.500000,10.940000,10.500000,10.890000,10.358543,596600
2001-05-02,10.950000,11.070000,10.900000,11.070000,10.529757,338400
2001-05-03,11.070000,11.160000,11.000000,11.150000,10.605854,278700
2001-05-04,11.000000,11.250000,10.900000,11.250000,10.700974,233600
2001-05-07,11.200000,11.270000,11.180000,11.240000,10.691463,310900
2001-05-08,11.000000,11.000000,10.710000,10.870000,10.339518,309900
2001-05-09,10.590000,10.700000,10.580000,10.640000,10.120744,226000
2001-05-10,10.470000,10.470000,10.320000,10.360000,9.854407,311000
2001-05-11,10.280000,10.410000,10.210000,10.400000,9.892456,785900
2001-05-14,10.270000,10.270000,10.200000,10.220000,9.721241,417500
2001-05-15,10.250000,10.290000,10.210000,10.250000,9.749777,176500
2001-05-16,10.210000,10.320000,10.160000,10.260000,9.759287,206400
2001-05-17,10.260000,10.360000,10.200000,10.260000,9.759287,183900
2001-05-18,10.200000,10.280000,10.100000,10.200000,9.702215,259300
2001-05-21,10.020000,10.190000,9.970000,10.170000,9.673680,198600
2001-05-22,10.060000,10.150000,10.050000,10.150000,9.654655,300100
2001-05-23,9.950000,10.080000,9.910000,10.080000,9.588072,314100
2001-05-24,10.150000,10.320000,10.080000,10.220000,9.721241,332600
2001-05-25,10.030000,10.030000,9.890000,9.930000,9.445393,357000
2001-05-29,9.850000,9.850000,9.550000,9.630000,9.160033,313600
2001-05-30,9.410000,9.410000,9.140000,9.220000,8.770042,376200
2001-05-31,9.320000,9.600000,9.310000,9.400000,8.941257,312700
2001-06-01,9.400000,9.490000,9.200000,9.460000,8.998330,261500
2001-06-04,9.180000,9.220000,9.100000,9.220000,8.770042,317200
2001-06-05,9.270000,9.460000,9.230000,9.400000,8.941257,443600
2001-06-06,9.330000,9.360000,9.270000,9.340000,8.884185,611700
2001-06-07,9.190000,9.190000,9.060000,9.160000,8.712970,549200
2001-06-08,9.120000,9.150000,9.010000,9.060000,8.617851,767000
2001-06-11,9.000000,9.050000,8.970000,9.040000,8.598827,483500
2001-06-12,8.600000,8.610000,8.540000,8.610000,8.189810,990500
2001-06-13,8.690000,8.770000,8.640000,8.710000,8.284930,406700
2001-06-14,8.480000,8.480000,8.340000,8.380000,7.971036,567000
2001-06-15,8.370000,8.370000,8.310000,8.320000,7.913964,583700
2001-06-18,8.300000,8.350000,8.220000,8.340000,7.932988,226800
2001-06-19,8.340000,8.340000,8.000000,8.100000,7.704701,522000
2001-06-20,8.120000,8.330000,8.120000,8.250000,7.847380,620500
2001-06-21,8.750000,9.050000,8.740000,8.930000,8.494196,415900
2001-06-22,8.650000,8.700000,8.540000,8.620000,8.199323,128300
2001-06-25,8.540000,8.540000,8.420000,8.460000,8.047132,151700
2001-06-26,8.350000,8.390000,8.220000,8.350000,7.942500,444500
2001-06-27,8.420000,8.690000,8.420000,8.630000,8.208838,372800
2001-06-28,8.400000,8.450000,8.290000,8.370000,7.961524,190000
2001-06-29,8.360000,8.480000,8.360000,8.460000,8.047132,207600
2001-07-02,8.390000,8.440000,8.340000,8.410000,7.999572,235600
2001-07-03,8.340000,8.510000,8.320000,8.460000,8.047132,349800
2001-07-05,8.310000,8.310000,8.200000,8.210000,7.809332,279700
2001-07-06,8.080000,8.080000,7.800000,7.970000,7.581045,306200
2001-07-09,8.000000,8.180000,8.000000,8.120000,7.723724,224700
2001-07-10,8.200000,8.400000,8.160000,8.180000,7.780798,166600
2001-07-11,8.020000,8.250000,8.020000,8.110000,7.714212,150700
2001-07-12,8.330000,8.600000,8.330000,8.540000,8.123228,144300
2001-07-13,8.350000,8.400000,8.250000,8.340000,7.932988,277900
2001-07-16,8.280000,8.280000,8.150000,8.220000,7.818844,127600
2001-07-17,8.190000,8.190000,8.040000,8.140000,7.742749,190000
2001-07-18,7.910000,7.940000,7.840000,7.930000,7.542997,200800
2001-07-19,7.860000,8.040000,7.850000,7.990000,7.600069,287900
2001-07-20,7.950000,8.020000,7.920000,7.950000,7.562022,166500
2001-07-23,7.350000,7.390000,7.260000,7.260000,6.905695,430200
2001-07-24,7.310000,7.500000,7.310000,7.430000,7.067398,200600
2001-07-25,7.500000,7.710000,7.500000,7.640000,7.267149,190200
2001-07-26,7.670000,8.050000,7.670000,7.980000,7.590557,320400
2001-07-27,7.980000,8.050000,7.700000,7.880000,7.495437,196900
2001-07-30,7.640000,7.680000,7.470000,7.640000,7.267149,91700
2001-07-31,7.900000,8.150000,7.900000,8.050000,7.657141,113400
2001-08-01,8.000000,8.300000,8.000000,8.030000,7.638117,206100
2001-08-02,8.150000,8.350000,8.050000,8.050000,7.657141,149600
2001-08-03,8.150000,8.300000,8.020000,8.100000,7.704701,143700
2001-08-06,8.020000,8.100000,7.930000,8.000000,7.609581,262600
2001-08-07,7.850000,7.930000,7.800000,7.890000,7.504950,126600
2001-08-08,7.800000,7.860000,7.700000,7.700000,7.324222,216400
2001-08-09,7.700000,7.800000,7.600000,7.750000,7.371782,222800
2001-08-10,7.590000,7.590000,7.420000,7.480000,7.114958,171300
