Date,Open,High,Low,Close,Adj Close,Volume
1976-08-18,2.562200,2.562200,2.562200,25.375002,2.220348,19500
1976-08-19,2.549578,2.549578,2.549578,25.249998,2.209410,500
1976-08-20,2.536956,2.536956,2.536956,25.124992,2.198471,8000
1976-08-23,2.461226,2.461226,2.461226,24.374992,2.132847,1000
1976-08-24,2.435982,2.435982,2.435982,24.124989,2.110970,7500
1976-08-25,2.410740,2.410740,2.410740,23.875002,2.089096,8000
1976-08-26,2.410740,2.410740,2.410740,23.875002,2.089096,500
1976-08-27,2.499092,2.499092,2.499092,24.750004,2.165660,2500
1976-08-30,2.448604,2.448604,2.448604,24.249994,2.121908,40000
1976-08-31,2.448604,2.448604,2.448604,24.249994,2.121908,500
1976-09-01,2.461226,2.461226,2.461226,24.374992,2.132847,500
1976-09-02,2.423362,2.423362,2.423362,24.000000,2.100034,65000
1976-09-03,2.385496,2.385496,2.385496,23.624994,2.067220,500
1976-09-07,2.322388,2.322388,2.322388,23.000002,2.012532,33500
1976-09-08,2.335010,2.335010,2.335010,23.125004,2.023470,32000
1976-09-09,2.322388,2.322388,2.322388,23.000002,2.012532,1000
1976-09-10,2.360252,2.360252,2.360252,23.374987,2.045344,500
1976-09-13,2.309766,2.309766,2.309766,22.874994,2.001594,114500
1976-09-14,2.297144,2.297144,2.297144,22.749992,1.990656,22500
1976-09-15,2.297144,2.297144,2.297144,22.749992,1.990656,32000
1976-09-16,2.259280,2.259280,2.259280,22.375002,1.957843,67000
1976-09-17,2.259280,2.259280,2.259280,22.375002,1.957843,500
1976-09-20,2.259280,2.259280,2.259280,22.375002,1.957843,500
1976-09-21,2.259280,2.259280,2.259280,22.375002,1.957843,80500
1976-09-22,2.259280,2.259280,2.259280,22.375002,1.957843,1000
1976-09-23,2.259280,2.259280,2.259280,22.375002,1.957843,500
1976-09-24,2.259280,2.259280,2.259280,22.375002,1.957843,2500
1976-09-27,2.246658,2.246658,2.246658,22.249994,1.946906,500
1976-09-28,2.246658,2.246658,2.246658,22.249994,1.946906,44000
1976-09-29,2.271902,2.271902,2.271902,22.500004,1.968781,22500
1976-09-30,2.259280,2.259280,2.259280,22.375002,1.957843,500
1976-10-01,2.246658,2.246658,2.246658,22.249994,1.946906,26000
1976-10-04,2.246658,2.246658,2.246658,22.249994,1.946906,500
1976-10-05,2.259280,2.259280,2.259280,22.375002,1.957843,8000
1976-10-06,2.271902,2.271902,2.271902,22.500004,1.968781,10000
1976-10-07,2.309766,2.309766,2.309766,22.874994,2.001594,8000
1976-10-08,2.322388,2.322388,2.322388,23.000002,2.012532,31000
1976-10-11,2.309766,2.309766,2.309766,22.874994,2.001594,2500
1976-10-12,2.259280,2.259280,2.259280,22.375002,1.957843,17000
1976-10-13,2.271902,2.271902,2.271902,22.500004,1.968781,7500
1976-10-14,2.284522,2.284522,2.284522,22.624985,1.979718,500
1976-10-15,2.259280,2.259280,2.259280,22.375002,1.957843,500
1976-10-18,2.335010,2.335010,2.335010,23.125004,2.023470,500
1976-10-19,2.271902,2.271902,2.271902,22.500004,1.968781,2500
1976-10-20,2.259280,2.259280,2.259280,22.375002,1.957843,500
1976-10-21,2.309766,2.309766,2.309766,22.874994,2.001594,44000
1976-10-22,2.322388,2.322388,2.322388,23.000002,2.012532,15000
1976-10-25,2.372874,2.372874,2.372874,23.499992,2.056282,15000
1976-10-26,2.372874,2.372874,2.372874,23.499992,2.056282,2500
1976-10-27,2.435982,2.435982,2.435982,24.124989,2.110970,7500
1976-10-28,2.486470,2.486470,2.486470,24.625000,2.154722,500
1976-10-29,2.461226,2.461226,2.461226,24.374992,2.132847,500
1976-11-01,2.461226,2.461226,2.461226,24.374992,2.132847,1000
1976-11-03,2.385496,2.385496,2.385496,23.624994,2.067220,25000
1976-11-04,2.372874,2.372874,2.372874,23.499992,2.056282,35000
1976-11-05,2.309766,2.309766,2.309766,22.874994,2.001594,2500
1976-11-08,2.309766,2.309766,2.309766,22.874994,2.001594,8000
1976-11-09,2.309766,2.309766,2.309766,22.874994,2.001594,500
1976-11-10,2.309766,2.309766,2.309766,22.874994,2.001594,1000
1976-11-11,2.423362,2.423362,2.423362,24.000000,2.100034,9000
1976-11-12,2.486470,2.486470,2.486470,24.625000,2.154722,9000
1976-11-15,2.410740,2.410740,2.410740,23.875002,2.089096,500
1976-11-16,2.360252,2.360252,2.360252,23.374987,2.045344,500
1976-11-17,2.335010,2.335010,2.335010,23.125004,2.023470,500
1976-11-18,2.309766,2.309766,2.309766,22.874994,2.001594,18500
1976-11-19,2.322388,2.322388,2.322388,23.000002,2.012532,2500
1976-11-22,2.385496,2.385496,2.385496,23.624994,2.067220,500
1976-11-23,2.385496,2.385496,2.385496,23.624994,2.067220,10000
1976-11-24,2.372874,2.372874,2.372874,23.499992,2.056282,500
1976-11-26,2.360252,2.360252,2.360252,23.374987,2.045344,500
1976-11-29,2.360252,2.360252,2.360252,23.374987,2.045344,2500
1976-11-30,2.322388,2.322388,2.322388,23.000002,2.012532,500
1976-12-01,2.347632,2.347632,2.347632,23.250004,2.034407,2500
1976-12-02,2.347632,2.347632,2.347632,23.250004,2.034407,2500
1976-12-03,2.461226,2.461226,2.461226,24.374992,2.132847,10000
1976-12-06,2.701038,2.701038,2.701038,26.749994,2.340661,22500
1976-12-07,2.789390,2.789390,2.789390,27.625002,2.417226,33500
1976-12-08,2.827254,2.827254,2.827254,27.999985,2.450037,2500
1976-12-09,2.814632,2.814632,2.814632,27.874985,2.439100,500
1976-12-10,2.814632,2.814632,2.814632,27.874985,2.439100,500
1976-12-13,2.940850,2.940850,2.940850,29.124996,2.548477,22500
1976-12-14,2.966094,2.966094,2.966094,29.375004,2.570353,7500
1976-12-15,3.054444,3.054444,3.054444,30.249985,2.646915,3000
1976-12-16,3.003958,3.003958,3.003958,29.749994,2.603165,2500
1976-12-17,3.041824,3.041824,3.041824,30.125004,2.635980,500
1976-12-20,2.966094,2.966094,2.966094,29.375004,2.570353,500
1976-12-21,2.953472,2.953472,2.953472,29.250002,2.559416,500
1976-12-22,3.016580,3.016580,3.016580,29.874998,2.614103,9000
1976-12-23,3.180662,3.180662,3.180662,31.499998,2.756294,1000
1976-12-27,3.458338,3.458338,3.458338,34.249989,2.996921,32000
1976-12-28,3.445716,3.445716,3.445716,34.124989,2.985983,2500
1976-12-29,3.433094,3.433094,3.433094,33.999985,2.975046,1000
1976-12-30,3.445716,3.445716,3.445716,34.124989,2.985983,2500
1976-12-31,3.445716,3.445716,3.445716,34.124989,2.985983,2500
1977-01-03,3.458338,3.458338,3.458338,34.249989,2.996921,500
1977-01-04,3.306878,3.306878,3.306878,32.749992,2.865669,500
1977-01-05,3.382608,3.382608,3.382608,33.499992,2.931295,32000
1977-01-06,3.256392,3.256392,3.256392,32.249996,2.821920,19500
1977-01-07,3.205904,3.205904,3.205904,31.749985,2.778167,500
1977-01-10,3.281634,3.281634,3.281634,32.499985,2.843794,2500
1977-01-11,3.168040,3.168040,3.168040,31.374994,2.745355,18500
1977-01-12,3.142796,3.142796,3.142796,31.124985,2.723480,500
1977-01-13,3.319500,3.319500,3.319500,32.874996,2.876607,2500
1977-01-14,3.306878,3.306878,3.306878,32.749992,2.865669,2500
